person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,OTHER,OWN,RENT,EDUCATION,HOMEIMPROVEMENT,MEDICAL,PERSONAL,VENTURE,B,C,D,E,F,G,Y
52000,RENT,0.0,EDUCATION,B,9.99,0,0.12,N,12,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
140000,RENT,0.0,DEBTCONSOLIDATION,A,6.03,0,0.05,N,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000,RENT,5.0,EDUCATION,B,10.99,1,0.4,N,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
97000,MORTGAGE,6.0,MEDICAL,C,13.57,0,0.1,Y,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
40000,RENT,2.0,DEBTCONSOLIDATION,B,9.63,0,0.2,N,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
83004,MORTGAGE,7.0,VENTURE,C,12.61,0,0.04,Y,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
30000,OWN,4.0,PERSONAL,D,15.7,0,0.27,Y,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
55059,RENT,16.0,DEBTCONSOLIDATION,B,12.53,1,0.44,N,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
120000,MORTGAGE,10.0,EDUCATION,B,10.37,0,0.17,N,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120000,MORTGAGE,8.0,MEDICAL,A,7.88,0,0.08,N,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51000,OWN,2.0,DEBTCONSOLIDATION,E,17.74,1,0.4,Y,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
37000,MORTGAGE,3.0,PERSONAL,A,6.91,0,0.19,N,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
381450,MORTGAGE,10.0,PERSONAL,C,13.49,0,0.09,Y,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
54000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,7.51,0,0.19,N,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27000,RENT,6.0,EDUCATION,C,11.66,0,0.22,Y,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
30000,RENT,2.0,EDUCATION,C,12.53,0,0.1,Y,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
85000,RENT,2.0,MEDICAL,B,10.99,0,0.11,N,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
85000,MORTGAGE,10.0,MEDICAL,A,8.9,0,0.28,N,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14400,RENT,0.0,VENTURE,D,14.61,1,0.28,N,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
55000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,8.0,0,0.15,N,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59000,RENT,7.0,PERSONAL,D,14.96,0,0.04,N,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
44000,RENT,0.0,PERSONAL,A,6.91,0,0.23,N,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30000,RENT,3.0,PERSONAL,B,11.48,1,0.33,N,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
64000,RENT,1.0,EDUCATION,B,10.99,0,0.2,N,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
48000,RENT,0.0,EDUCATION,B,10.59,0,0.05,N,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
30000,OWN,4.0,DEBTCONSOLIDATION,D,14.61,0,0.33,Y,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
81120,MORTGAGE,5.0,HOMEIMPROVEMENT,B,11.12,0,0.1,N,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16320,RENT,0.0,HOMEIMPROVEMENT,C,13.92,1,0.18,Y,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
60000,RENT,1.0,EDUCATION,A,7.14,0,0.11,N,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
90000,RENT,7.0,VENTURE,C,14.27,0,0.11,Y,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
